name,description,alcohol_percentage,bitterness,country,taste_tags,beer_type,style
Клинское,"Клинское - это популярное российское пиво, известное своим легким и освежающим вкусом. Оно производится с использованием традиционных технологий и качественных ингредиентов, что обеспечивает стабильное качество и приятный аромат. Пиво имеет светлый золотистый цвет и умеренную карбонизацию. Оно идеально подходит для повседневного употребления и хорошо сочетается с различными закусками.",4.7,низкая,Россия,"легкое, освежающее, светлое",светлое,лагер
Невское,"Невское — популярное российское пиво, известное своим мягким вкусом и легкой горечью. Оно производится с использованием традиционных технологий и отборных ингредиентов, что обеспечивает его высокое качество. Пиво обладает светло-золотистым цветом и приятным ароматом солода. Оно подходит для различных поводов и хорошо сочетается с разнообразными блюдами. Невское часто выбирают как универсальный напиток для дружеских встреч и праздников.",4.6,низкая,Россия,"мягкое, солодовое, освежающее",светлое,лагер
Сибирская корона,"Сибирская корона - это популярное российское пиво, известное своим мягким и освежающим вкусом. Оно обладает легким ароматом солода и хмеля, что делает его приятным для употребления в любое время года. Пиво отличается сбалансированным вкусом с легкой горчинкой и чистым послевкусием. Оно хорошо сочетается с различными блюдами, включая мясо и рыбу.",4.8,низкая,Россия,"мягкое, освежающее, сбалансированное",светлое,лагер
Хамовники Пильзенское,"Хамовники Пильзенское — это светлое пиво, которое отличается чистым и освежающим вкусом. Оно обладает мягким солодовым профилем с легкими нотками хмеля, что делает его идеальным выбором для любителей классического пильзенского стиля. Это пиво подходит для различных поводов и хорошо сочетается с легкими закусками.",4.5,низкая,Россия,"освежающее, солодовое, легкое, хмелевое",светлое,лагер
Хамовники Венское,"Хамовники Венское - это классическое венское пиво с насыщенным янтарным цветом и мягким вкусом. Оно обладает легкой сладостью солода и умеренной горечью, что делает его приятным для питья. Аромат включает в себя нотки карамели и хлеба. Это пиво идеально подходит для тех, кто ценит баланс между сладостью и горечью. Оно хорошо сочетается с мясными блюдами и сырами. Хамовники Венское производится в России и является популярным выбором среди любителей традиционного пива.",4.5,средняя,Россия,"сладость, карамель, умеренная горечь, солод",янтарное,лагер
Хамовники Пшеничное,"Хамовники Пшеничное - это освежающее пшеничное пиво с мягким вкусом и легкой кислинкой. Оно обладает светло-золотистым цветом и характерной мутностью, присущей пшеничным сортам. Аромат пива насыщен нотами банана и гвоздики, что придает ему особую пикантность. Это пиво идеально подходит для жарких летних дней, благодаря своей легкости и освежающим свойствам. Хамовники Пшеничное производится с использованием традиционных технологий, что обеспечивает его высокое качество и аутентичность.",4.8,низкая,Россия,"освежающее, фруктовое, легкое, пшеничное",светлое,пшеничное
Stella Artois Unfiltered,"Stella Artois Unfiltered - это нефильтрованная версия классического бельгийского лагера, предлагающая более насыщенный и естественный вкус. Пиво обладает мягким, слегка сладковатым вкусом с нотками зерна и легкой фруктовостью. Благодаря отсутствию фильтрации, оно сохраняет естественную мутность и более богатый аромат. Это пиво идеально подходит для тех, кто ищет более аутентичный и насыщенный опыт. Его освежающий характер делает его отличным выбором для различных случаев.",5.0,низкая,Бельгия,"мягкое, фруктовое, зерновое, освежающее",светлое,лагер
Grolsch Premium Lager,"Grolsch Premium Lager - это освежающее светлое пиво, известное своим сбалансированным вкусом и характерной горечью. Оно обладает чистым и хрустящим вкусом с легкими нотками солода и хмеля. Пиво имеет золотистый цвет и плотную белую пену. Grolsch Premium Lager производится с использованием традиционных методов пивоварения, что придает ему уникальный характер. Это пиво идеально подходит для тех, кто ценит классический вкус лагера.",5.0,средняя,Нидерланды,"освежающее, сбалансированное, хрустящее, солодовое, хмелевое",светлое,лагер
Löwenbräu Original,"Löwenbräu Original - это классический немецкий лагер, который производится с соблюдением традиций пивоварения с 1383 года. Пиво обладает светло-золотистым цветом и чистым, освежающим вкусом с легкими нотками солода и хмеля. Оно отличается мягким и сбалансированным вкусом, который делает его идеальным для утоления жажды. Löwenbräu Original имеет приятный аромат с легкими травяными и цветочными оттенками. Это пиво отлично сочетается с традиционными немецкими блюдами, такими как колбаски и свиные ребрышки.",5.2,средняя,Германия,"освежающее, сбалансированное, солодовое, хмелевое",светлое,лагер
Paulaner Hefe-Weißbier,"Paulaner Hefe-Weißbier - это классическое немецкое пшеничное пиво, известное своим насыщенным и освежающим вкусом. Оно обладает характерным мутным золотистым цветом и густой белой пеной. В аромате преобладают ноты банана и гвоздики, которые дополняются легкими фруктовыми и пряными оттенками. Это пиво отличается мягким и гладким вкусом с легкой сладостью и освежающей кислинкой. Оно идеально подходит для теплых летних дней и прекрасно сочетается с легкими блюдами.",5.5,низкая,Германия,"банан, гвоздика, фруктовый, освежающий, пшеничный",светлое,Hefeweizen
Paulaner Dunkel,"Paulaner Dunkel - это традиционное немецкое тёмное пиво, известное своим насыщенным и мягким вкусом. Оно обладает глубоким коричневым цветом и кремовой пеной. В аромате преобладают ноты карамели, шоколада и слегка поджаренного солода. Вкус сбалансированный, с лёгкой сладостью и мягкой горечью, что делает его приятным для питья. Это пиво идеально подходит для сочетания с мясными блюдами и сырами.",5.3,низкая,Германия,"карамель, шоколад, мягкое, сбалансированное, солод",темное,лагер
Franziskaner Weissbier,"Franziskaner Weissbier - это классическое немецкое пшеничное пиво, известное своим мягким и освежающим вкусом. Оно обладает характерным фруктовым ароматом с нотками банана и гвоздики, которые создаются благодаря использованию специального дрожжевого штамма. Пиво имеет светло-золотистый цвет и плотную, кремовую пену. Его вкус сбалансирован, с легкой сладостью и мягкой горечью. Это пиво идеально подходит для теплых летних дней и отлично сочетается с легкими блюдами.",5.0,низкая,Германия,"фруктовое, освежающее, банан, гвоздика, сладкое",светлое,вайсбир
Erdinger Weissbier,"Erdinger Weissbier - это классическое немецкое пшеничное пиво, известное своим освежающим вкусом и легкой фруктовой ноткой. Оно обладает мягким и слегка сладковатым вкусом с оттенками банана и гвоздики, которые характерны для пшеничных дрожжей. Пиво имеет золотистый цвет и густую пену, что делает его привлекательным для глаз. Erdinger Weissbier идеально подходит для тех, кто ищет легкое и освежающее пиво с богатым ароматом.",5.3,низкая,Германия,"освежающее, фруктовое, банан, гвоздика, легкое",светлое,пшеничное
Spaten,"Spaten - это классическое немецкое пиво, известное своим чистым и освежающим вкусом. Оно производится в Мюнхене и является одним из старейших брендов пива в Германии. Spaten отличается сбалансированным вкусом с легкими солодовыми нотками и умеренной горечью. Это пиво идеально подходит для тех, кто ценит традиционные немецкие лагеры. Оно часто подается на Октоберфесте и других пивных фестивалях. Spaten имеет золотистый цвет и прозрачную текстуру.",5.2,средняя,Германия,"освежающее, сбалансированное, солодовое, традиционное",светлое,лагер
Warsteiner Premium Verum,"Warsteiner Premium Verum - это классический немецкий лагер, известный своим чистым и освежающим вкусом. Пиво обладает золотистым цветом и легким ароматом солода с нотками хмеля. Оно отличается мягким и сбалансированным вкусом с легкой горечью в послевкусии. Warsteiner Premium Verum идеально подходит для тех, кто ценит традиционные немецкие пивные традиции и ищет освежающий напиток для любого случая.",4.8,средняя,Германия,"освежающее, сбалансированное, легкая горечь, традиционное",светлое,лагер
Krombacher Pils,"Krombacher Pils - это классическое немецкое пиво, известное своим чистым и освежающим вкусом. Оно обладает золотистым цветом и плотной белой пеной. Вкус пива характеризуется гармоничным сочетанием легкой сладости солода и умеренной горечи хмеля. Аромат свежий, с нотками трав и цветов. Это пиво идеально подходит для тех, кто ценит традиционные немецкие пивные традиции.",4.8,средняя,Германия,"освежающее, хмелевое, сбалансированное",светлое,лагер
Bitburger Premium Pils,"Bitburger Premium Pils - это классический немецкий пилснер, известный своим чистым и освежающим вкусом. Пиво обладает светло-золотистым цветом и плотной белой пеной. Оно характеризуется сбалансированной горечью и легкими нотками хмеля, которые придают ему свежесть. Вкус отличается сухостью и легкой сладостью солода, что делает его идеальным для утоления жажды. Bitburger Premium Pils часто выбирают за его высокое качество и традиционный немецкий стиль.",4.8,33,Германия,"освежающее, хмелевое, сбалансированное, сухое",светлое,пилснер
Beck’s Gold,"Beck’s Gold — это легкое и освежающее пиво, которое отличается своим мягким вкусом и золотистым цветом. Оно обладает сбалансированным ароматом с нотками солода и легкой хмелевой горечью. Это пиво идеально подходит для тех, кто предпочитает более мягкие и менее горькие сорта. Beck’s Gold производится с использованием высококачественных ингредиентов и традиционных методов пивоварения. Оно отлично сочетается с легкими закусками и блюдами из рыбы или курицы. Это пиво популярно среди любителей легких и освежающих напитков.",4.9,низкая,Германия,"легкое, освежающее, мягкое, золотистое",светлое,лагер
Velkopopovický Kozel Svetly,"Velkopopovický Kozel Svetly - это классическое чешское светлое пиво, известное своим мягким и освежающим вкусом. Оно обладает золотистым цветом и легким ароматом солода с нотками хмеля. Это пиво отличается сбалансированным вкусом с легкой горечью и приятным послевкусием. Оно идеально подходит для тех, кто предпочитает легкие и освежающие напитки. Velkopopovický Kozel Svetly производится с использованием традиционных чешских методов пивоварения, что придает ему аутентичный характер.",4.0,низкая,Чехия,"освежающее, легкое, сбалансированное",светлое,лагер
Velkopopovický Kozel Dark,"Velkopopovický Kozel Dark — это чешское тёмное пиво с богатым и насыщенным вкусом. Оно обладает мягким карамельным ароматом с нотками кофе и шоколада. Это пиво известно своим глубоким тёмным цветом и гладким послевкусием. Благодаря использованию специального сорта солода, оно имеет сладковатый вкус с легкой горчинкой. Velkopopovický Kozel Dark идеально подходит для тех, кто ищет что-то более сложное и насыщенное, чем традиционные светлые лагеры.",3.8,низкая,Чехия,"карамель, шоколад, кофе, сладковатое, гладкое",темное,лагер
Zlatý Bažant,"Zlatý Bažant - это популярное словацкое пиво, известное своим освежающим вкусом и золотистым цветом. Оно обладает легким ароматом хмеля и солода, что делает его идеальным выбором для любителей классических лагеров. Пиво отличается сбалансированным вкусом с легкой горечью и мягким послевкусием. Zlatý Bažant производится с использованием традиционных методов пивоварения, что придает ему аутентичность и высокое качество.",5.0,средняя,Словакия,"освежающее, золотистое, сбалансированное, легкая горечь, традиционное",светлое,лагер
Pilsner Urquell,"Pilsner Urquell - это классический чешский лагер, который считается первым в мире пильзнером. Он обладает золотистым цветом и характерным хмелевым ароматом. Вкус пива сбалансирован, с легкой сладостью солода и отчетливой горечью хмеля. Это пиво отличается чистотой и свежестью, что делает его популярным выбором среди любителей лагеров. Оно идеально подходит для употребления в жаркую погоду и хорошо сочетается с различными блюдами.",4.4,40,Чехия,"горькое, освежающее, хмелевое, сбалансированное",светлое,лагер
Krušovice Imperial,"Krušovice Imperial - это классическое чешское светлое пиво, известное своим богатым вкусом и золотистым цветом. Оно обладает сбалансированным ароматом с нотами солода и хмеля. Пиво отличается мягким вкусом с легкой горечью и освежающим послевкусием. Krušovice Imperial идеально подходит для тех, кто ценит традиционные чешские пивные традиции.",5.0,средняя,Чехия,"сбалансированное, солодовое, хмелевое, освежающее",светлое,лагер
Krušovice Černé,"Krušovice Černé - это тёмное чешское пиво, известное своим богатым и насыщенным вкусом. Оно обладает глубоким карамельным ароматом с нотами шоколада и кофе. Это пиво имеет мягкий и слегка сладковатый вкус с легкой горчинкой, что делает его приятным для питья. Krušovice Černé варится с использованием традиционных чешских методов и высококачественных ингредиентов, включая специальный тёмный солод. Это пиво идеально подходит для тех, кто ценит сложные вкусовые профили и предпочитает тёмные сорта пива.",3.8,низкая,Чехия,"карамель, шоколад, кофе, сладковатый, мягкий",темное,лагер
Budvar,"Budvar, также известный как Budweiser Budvar, это чешское пиво, известное своим богатым вкусом и традиционным методом производства. Оно варится с использованием лучших ингредиентов, включая моравский солод и знаменитый жатецький хмель. Пиво обладает сбалансированным вкусом с легкими нотками сладости и хмелевой горечи. Budvar имеет золотистый цвет и плотную пену, что делает его привлекательным для любителей классического лагера. Это пиво идеально подходит для тех, кто ценит традиции и качество.",5.0,средняя,Чехия,"сбалансированное, хмелевое, сладковатое, традиционное",светлое,лагер
Bernard Svetly Ležák,"Bernard Svetly Ležák - это чешский светлый лагер, который отличается своим насыщенным вкусом и ароматом. Пиво обладает золотистым цветом и плотной пеной. Вкус характеризуется балансом между сладостью солода и легкой горечью хмеля. Оно освежающее и идеально подходит для тех, кто ценит классические лагеры. Bernard Svetly Ležák производится с использованием традиционных методов пивоварения, что придает ему аутентичность и уникальность. Это пиво часто выбирают для сопровождения различных блюд благодаря его универсальности.",4.9,средняя,Чехия,"сладость, хмель, освежающее, традиционное, золотистое",светлое,лагер
Bernard Černý Ležák,"Bernard Černý Ležák - это чешское темное пиво, известное своим богатым и насыщенным вкусом. Оно обладает глубоким карамельным ароматом с нотками шоколада и кофе. Это пиво имеет гладкую текстуру и мягкое послевкусие, что делает его приятным для употребления. Bernard Černý Ležák варится с использованием традиционных методов и высококачественных ингредиентов, что придает ему уникальный характер. Это пиво идеально подходит для тех, кто ценит сложные и многослойные вкусы.",5.1,низкая,Чехия,"карамель, шоколад, кофе, гладкое, мягкое",темное,лагер
